Manhattan, NY	new	1642	york,	859	york	616	#nyc	393	#hiring	332	#job	303	#newyork,	278	ny)	266	park	239	&amp;	230
Los Angeles, CA	los	688	angeles,	409	#job	287	#hiring	275	california	249	angeles	210	&amp;	176	#careerarc	175	just	174	#losangeles,	165
Chicago, IL	chicago,	399	chicago	306	#chicago,	264	#job	246	#hiring	242	il)	180	#chicago	162	#jobs	148	#careerarc	136	&amp;	100
Houston, TX	#houston,	533	#job	495	#hiring	490	#jobs	282	#careerarc	257	houston	241	houston,	213	tx)	182	latest	176	#nursing	160
San Francisco, CA	san	383	#sanfrancisco,	221	#job	213	#hiring	203	francisco,	185	francisco	139	#jobs	113	#careerarc	110	request	102	ca)	101
