Paraguay	-25.44894106897526	-57.185199068078035
Turks and Caicos Islands	21.712998239360005	-71.93217641543998
Haiti	18.638977196659315	-72.38894894673649
United States	36.9443188535942	-92.41421468797074
Puerto Rico	18.29452677226162	-66.23586946420261
Bermuda	32.293001482672814	-64.78428323889403
Costa Rica	9.96310632423962	-84.17388698841333
Saint Vincent and the Grenadines	13.107803622181818	-61.21815102618181
Venezuela	10.06503910825267	-67.82157292834275
Guadeloupe	16.25721058479042	-61.50910663790418
Guyana	6.526946404044944	-58.2396886316854
Cayman Islands	19.324786376358695	-81.36390899277174
Brasil	-19.22251510968579	-45.93797869305518
Jamaica	18.067548499014006	-76.9814450938989
Nicaragua	12.185841971085203	-86.19153570017953
Trinidad and Tobago	10.617896088049886	-61.417308994346186
Bahamas	25.316759908810738	-77.51546526418159
French Polynesia	-17.03403165375	-149.22058226402777
Saint-Barthlemy	17.903522892444446	-62.83584291244444
Ecuador	-1.659379315208644	-79.45496054206339
Barbados	13.203804590533881	-59.473691326365504
Curaao	12.120843767836536	-68.93301076245191
Saint-Martin	18.180476924074075	-60.21988329203704
Grenada	12.051920626250002	-61.69790167174999
British Virgin Islands	18.44011212263158	-64.53708536184209
Canada	45.5862128480192	-87.47655260011473
Cuba	22.639712487027438	-80.98019042495427
Martinique	14.612185373574265	-61.03163465119436
Saint Lucia	13.931240554166667	-60.9976924263095
Peru	-11.515274556334491	-76.82624716931586
Chile	-33.59663557725995	-71.08254939677079
Antigua and Barbuda	17.09174113030019	-61.83598146080674
Guyane Franaise	5.483863462280703	-51.58473958789473
Aruba	12.53997891524675	-70.03037701366233
United Kingdom	39.710782249999994	-75.09431395047618
Saint Kitts and Nevis	17.287597158070177	-62.713720743157886
Mxico	20.98217010839408	-99.57063716311377
Suriname	5.686264525228758	-55.23310732490196
Nederland	13.025458516222221	-69.570104636
Panama	8.81354223259111	-79.97201274477071
El Salvador	13.701282046089267	-89.23479485609336
Guatemala	14.706185296300916	-90.57222014965406
Bolivia	-17.487994463567528	-65.87635403554211
Honduras	14.849216636570132	-87.52067144393051
Argentina	-33.89365387362225	-60.69694056677902
Dominican Republic	18.70243923678475	-69.96638479235385
Colombia	6.080406874959758	-74.59474114330214
Belize	17.517786639203084	-88.27899424845758
Anguilla	18.191900349661015	-63.096205397966095
Cook Islands	-21.135859910357144	-159.78487028249998
Uruguay	-33.926340200762176	-56.363804761935995
Portugal	39.3222144612	-9.791578528
Dominica	15.329582905135133	-61.38095197621622
Sint Maarten	18.03574717021739	-63.08373470880434
